Model,Metric,Baseline,Enhanced,Improvement(%)
LSTM,rmse,14.933843463510746,9.198853247848175,38.40264048351255
LSTM,mae,13.800266491563475,8.135026824307786,41.05166860885638
LSTM,r2,-5.576591571482837,-1.4953131944324163,73.18589365448531
LSTM,mape,0.23550582354689673,0.13841845965673666,41.22503742283335
GRU,rmse,2.512048817489041,0.6328738464000974,74.80646705613403
GRU,mae,2.012888217454569,0.4778936105879145,76.25831347990885
GRU,r2,0.8139139437410511,0.9881888555870842,21.411958006887176
GRU,mape,0.03503363600095279,0.008736531633111824,75.06244675010547
CNN_LSTM,rmse,9.035436449105935,5.904733231750988,34.649164265493035
CNN_LSTM,mae,8.478658285323887,5.418696774578765,36.090162001713814
CNN_LSTM,r2,-1.4074426674379539,-0.02815417908684581,97.99962160177391
CNN_LSTM,mape,0.15239945741492603,0.09360948195512797,38.576236724869176
